Gene,Half_Life
YBL101W-A,70.80711958840372
YCR020C,70.7933690894737
YNR073C,70.78280762024333
YKL148C,70.72297395019457
YDR112W,70.72083533629845
YLR097C,70.70859502369618
YNL193W,70.6701578043022
YGR211W,70.64210634944949
YER183C,70.62947344807972
YNL200C,70.60722484646665
YMR297W,70.57758485181108
YEL055C,70.57080666900634
YLR425W,70.49850140305608
YJL028W,70.47065462637707
YER001W,70.45988930516008
YOL085C,70.45491724620786
YDR416W,70.40544068163057
YNR076W,70.36135539931718
YGR062C,70.34579815952691
YHR031C,70.25805701257717
YDL190C,70.16554305172268
YAL018C,70.1267278399799
YIR030C,70.12022201078815
YPL100W,70.04466521137994
YOL154W,70.02631549920821
YLR068W,69.90952173484568
YBR001C,69.9053811377642
YMR322C,69.84264755546678
YAR009C,69.75217346778997
YNR056C,69.74994479773882
YOR177C,69.73866141568219
YAL067C,69.73656247933832
YOR230W,69.70552517453548
YLR251W,69.69675906220473
YPR080W,69.58216998918172
YDL177C,69.52098576176266
YIL143C,69.48553198923896
YHR016C,69.47440317967362
